DB	third1_N1N2N3_percent	The percentage of the total NREM stages spent during the first third of the sleep period.
DC	third1_sleep_percent	Percentage of time spent in a sleep stage (N1,N2,N3,R) during the first third of the sleep period.
DD	third2_W_percent	The percentage of the total Wake stage spent during the second third of the sleep period.
DE	third2_N1_percent	The percentage of the total N1 stage spent during the second third of the sleep period.
DF	third2_N2_percent	The percentage of the total N2 stage spent during the second third of the sleep period.
DG	third2_N3_percent	The percentage of the total N3 stage spent during the second third of the sleep period.
DH	third2_R_percent	The percentage of the total R stage spent during the second third of the sleep period.
DI	third2_Unscored_percent	The percentage of the total Unscored stage spent during the second third of the sleep period.
DJ	third2_N1N2N3_percent	The percentage of the total NREM stages spent during the second third of the sleep period.
DK	third2_sleep_percent	Percentage of time spent in a sleep stage (N1,N2,N3,R) during the second third of the sleep period.
DL	third3_W_percent	The percentage of the total Wake stage spent during the last third of the sleep period.
DM	third3_N1_percent	The percentage of the total N1 stage spent during the last third of the sleep period.
DN	third3_N2_percent	The percentage of the total N2 stage spent during the last third of the sleep period.
DO	third3_N3_percent	The percentage of the total N3 stage spent during the last third of the sleep period.
DP	third3_R_percent	The percentage of the total R stage spent during the last third of the sleep period.
DQ	third3_Unscored_percent	The percentage of the total Unscored stage spent during the last third of the sleep period.
DR	third3_N1N2N3_percent	The percentage of the total NREM stages spent during the last third of the sleep period.
DS	third3_sleep_percent	Percentage of time spent in a sleep stage (N1,N2,N3,R) during the last third of the sleep period.
DT	half1_W_percent	The percentage of the total Wake stage spent during the first half of the sleep period.
DU	half1_N1_percent	The percentage of the total N1 stage spent during the first half of the sleep period.
DV	half1_N2_percent	The percentage of the total N2 stage spent during the first half of the sleep period.
DW	half1_N3_percent	The percentage of the total N3 stage spent during the first half of the sleep period.
DX	half1_R_percent	The percentage of the total R stage spent during the first half of the sleep period.
DY	half1_Unscored_percent	The percentage of the total Unscored stage spent during the first half of the sleep period.
DZ	half1_N1N2N3_percent	The percentage of the total NREM stages spent during the first half of the sleep period.
EA	half1_sleep_percent	Percentage of time spent in a sleep stage (N1,N2,N3,R) during the first half of the sleep period.
EB	half2_W_percent	The percentage of the total Wake stage spent during the second half of the sleep period.
EC	half2_N1_percent	The percentage of the total N1 stage spent during the second half of the sleep period.
ED	half2_N2_percent	The percentage of the total N2 stage spent during the second half of the sleep period.
EE	half2_N3_percent	The percentage of the total N3 stage spent during the second half of the sleep period.
EF	half2_R_percent	The percentage of the total R stage spent during the second half of the sleep period.
EG	half2_Unscored_percent	The percentage of the total Unscored stage spent during the second half of the sleep period.
EH	half2_N1N2N3_percent	The percentage of the total NREM stages spent during the second half of the sleep period.
EI	half2_sleep_percent	Percentage of time spent in a sleep stage (N1,N2,N3,R) during the second half of the sleep period.
EJ	total_W_percent	Percentage of time spent in a wake stage during the sleep period.
EK	total_N1_percent	Percentage of time spent in N1 stage during the sleep period.
EL	total_N2_percent	Percentage of time spent in N2 stage during the sleep period.
EM	total_N3_percent	Percentage of time spent in N3 stage during the sleep period.
EN	total_R_percent	Percentage of time spent in REM stage during the sleep period.
EO	total_Unscored_percent	Percentage of time spent in an unscored stage during the sleep period.
EP	total_N1N2N3_percent	Percentage of time spent in NREM stages during the sleep period.
EQ	total_sleep_percent	Percentage of time spent in a sleep stage (N1,N2,N3, REM) during the sleep period.
ER	sleep_cycle_count	Number of sleep cycles detected based on the sleep cycle parameters used.
ES	cyc1_nrem_min	Time spend in NREM period during the first cycle.
ET	cyc1_R_min	Time spend in REM stage during the first cycle.
EU	cyc1_min	Duration of the first cycle
EV	cyc2_nrem_min	Time spend in NREM period during the 2th cycle.
EW	cyc2_R_min	Time spend in REM stage during the 2th cycle.
EX	cyc2_min	Duration of the 2th cycle
EY	cyc3_nrem_min	Time spend in NREM period during the 3th cycle.
EZ	cyc3_R_min	Time spend in REM stage during the 3th cycle.
FA	cyc3_min	Duration of the 3th cycle
FB	cyc4_nrem_min	Time spend in NREM period during the 4th cycle.
FC	cyc4_R_min	Time spend in REM stage during the 4th cycle.
FD	cyc4_min	Duration of the 4th cycle
FE	cyc5_nrem_min	Time spend in NREM period during the 5th cycle.
FF	cyc5_R_min	Time spend in REM stage during the 5th cycle.
FG	cyc5_min	Duration of the 5th cycle
FH	cyc6_nrem_min	Time spend in NREM period during the 6th cycle.
FI	cyc6_R_min	Time spend in REM stage during the 6th cycle.
FJ	cyc6_min	Duration of the 6th cycle
FK	cyc7_nrem_min	Time spend in NREM period during the 7th cycle.
FL	cyc7_R_min	Time spend in REM stage during the 7th cycle.
FM	cyc7_min	Duration of the 7th cycle
FN	cyc8_nrem_min	Time spend in NREM period during the 8th cycle.
FO	cyc8_R_min	Time spend in REM stage during the 8th cycle.
FP	cyc8_min	Duration of the 8th cycle
FQ	cyc9_nrem_min	Time spend in NREM period during the 9th cycle.
FR	cyc9_R_min	Time spend in REM stage during the 9th cycle.
FS	cyc9_min	Duration of the 9th cycle
FT	cyc10_nrem_min	Time spend in NREM period during the 10th cycle.
FU	cyc10_R_min	Time spend in REM stage during the 10th cycle.
FV	cyc10_min	Duration of the 10th cycle
FW	rem_intervals_mean	Mean of intervals between REM periods.
FX	rem_total_R_min	Total time spend in REM stage during all REM periods in minutes.
FY	rem_total_N1N2N3_min	Total time spend in NREM stages during all REM periods in minutes.
FZ	rem_total_W_min	Total time spend in wake stage during all REM periods in minutes.
GA	rem_total_Unscored_min	Total time spend in unscored stage during all REM periods in minutes.
GB	rem_total_time_min	Total time spend all REM periods in minutes.
GC	rem_fragmentation_count	Number of REM fragments. A continious sequence of REM stages count as one fragment.
GD	rem_R_efficiency_percent	Ratio of time spent in a REM stage during all REM periods.
GE	rem_count	Number of REM periods.
GF	rem1_interval_min	Delay between the sleep onset and the first REM period in minutes.
GG	rem1_R_min	Time spent in REM stage during the REM period in minutes.
GH	rem1_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
GI	rem1_W_min	Time spent in wake stage during the REM period in minutes.
GJ	rem1_Unscored_min	Time spent in unscored stage during the REM period in minutes.
GK	rem1_min	Duration of the REM period in minutes.
GL	rem1_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
GM	rem1_efficiency_percent	Percent of time spend in REM stage during the REM period.
GN	rem2_interval_min	Time interval in minutes between the beginning of a REM period and the beginning of the previous REM period.
GO	rem2_R_min	Time spent in REM stage during the REM period in minutes.
GP	rem2_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
GQ	rem2_W_min	Time spent in wake stage during the REM period in minutes.
GR	rem2_Unscored_min	Time spent in unscored stage during the REM period in minutes.
GS	rem2_min	Duration of the REM period in minutes.
GT	rem2_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
GU	rem2_efficiency_percent	Percent of time spend in REM stage during the REM period.
GV	rem3_interval_min	Time interval in minutes between the beginning of a REM period and the beginning of the previous REM period.
GW	rem3_R_min	Time spent in REM stage during the REM period in minutes.
GX	rem3_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
GY	rem3_W_min	Time spent in wake stage during the REM period in minutes.
GZ	rem3_Unscored_min	Time spent in unscored stage during the REM period in minutes.
HA	rem3_min	Duration of the REM period in minutes.
HB	rem3_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
HC	rem3_efficiency_percent	Percent of time spend in REM stage during the REM period.
HD	rem4_interval_min	Time interval in minutes between the beginning of a REM period and the beginning of the previous REM period.
HE	rem4_R_min	Time spent in REM stage during the REM period in minutes.
HF	rem4_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
HG	rem4_W_min	Time spent in wake stage during the REM period in minutes.
HH	rem4_Unscored_min	Time spent in unscored stage during the REM period in minutes.
HI	rem4_min	Duration of the REM period in minutes.
HJ	rem4_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
HK	rem4_efficiency_percent	Percent of time spend in REM stage during the REM period.
HL	rem5_interval_min	Time interval in minutes between the beginning of a REM period and the beginning of the previous REM period.
HM	rem5_R_min	Time spent in REM stage during the REM period in minutes.
HN	rem5_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
HO	rem5_W_min	Time spent in wake stage during the REM period in minutes.
HP	rem5_Unscored_min	Time spent in unscored stage during the REM period in minutes.
HQ	rem5_min	Duration of the REM period in minutes.
HR	rem5_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
HS	rem5_efficiency_percent	Percent of time spend in REM stage during the REM period.
HT	rem6_interval_min	Time interval in minutes between the beginning of a REM period and the beginning of the previous REM period.
HU	rem6_R_min	Time spent in REM stage during the REM period in minutes.
HV	rem6_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
HW	rem6_W_min	Time spent in wake stage during the REM period in minutes.
HX	rem6_Unscored_min	Time spent in unscored stage during the REM period in minutes.
HY	rem6_min	Duration of the REM period in minutes.
HZ	rem6_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
IA	rem6_efficiency_percent	Percent of time spend in REM stage during the REM period.
IB	rem7_interval_min	Time interval in minutes between the beginning of a REM period and the beginning of the previous REM period.
IC	rem7_R_min	Time spent in REM stage during the REM period in minutes.
ID	rem7_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
IE	rem7_W_min	Time spent in wake stage during the REM period in minutes.
IF	rem7_Unscored_min	Time spent in unscored stage during the REM period in minutes.
IG	rem7_min	Duration of the REM period in minutes.
IH	rem7_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
II	rem7_efficiency_percent	Percent of time spend in REM stage during the REM period.
IJ	rem8_interval_min	Time interval in minutes between the beginning of a REM period and the beginning of the previous REM period.
IK	rem8_R_min	Time spent in REM stage during the REM period in minutes.
IL	rem8_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
IM	rem8_W_min	Time spent in wake stage during the REM period in minutes.
IN	rem8_Unscored_min	Time spent in unscored stage during the REM period in minutes.
IO	rem8_min	Duration of the REM period in minutes.
IP	rem8_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
IQ	rem8_efficiency_percent	Percent of time spend in REM stage during the REM period.
IR	rem9_interval_min	Time interval in minutes between the beginning of a REM period and the beginning of the previous REM period.
IS	rem9_R_min	Time spent in REM stage during the REM period in minutes.
IT	rem9_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
IU	rem9_W_min	Time spent in wake stage during the REM period in minutes.
IV	rem9_Unscored_min	Time spent in unscored stage during the REM period in minutes.
IW	rem9_min	Duration of the REM period in minutes.
IX	rem9_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
IY	rem9_efficiency_percent	Percent of time spend in REM stage during the REM period.
IZ	rem10_interval_min	Time interval in minutes between the beginning of a REM period and the beginning of the previous REM period.
JA	rem10_R_min	Time spent in REM stage during the REM period in minutes.
JB	rem10_N1N2N3_min	Time spent in a NREM stages during the REM period in minutes.
JC	rem10_W_min	Time spent in wake stage during the REM period in minutes.
JD	rem10_Unscored_min	Time spent in unscored stage during the REM period in minutes.
JE	rem10_min	Duration of the REM period in minutes.
JF	rem10_fragmentation_count	Fragmentation count during the REM period. A continious sequence of REM stages count as one fragment.
JG	rem10_efficiency_percent	Percent of time spend in REM stage during the REM period.
JH	W_to_N1_count	Count of transition between two stages during the whole recording.
JI	W_to_N2_count	Count of transition between two stages during the whole recording.
JJ	W_to_N3_count	Count of transition between two stages during the whole recording.
JK	W_to_R_count	Count of transition between two stages during the whole recording.
JL	W_to_Unscored_count	Count of transition between two stages during the whole recording.
JM	W_to_any_count	Count of transition between two stages during the whole recording.
JN	N1_to_W_count	Count of transition between two stages during the whole recording.
JO	N1_to_N2_count	Count of transition between two stages during the whole recording.
JP	N1_to_N3_count	Count of transition between two stages during the whole recording.
JQ	N1_to_R_count	Count of transition between two stages during the whole recording.
JR	N1_to_Unscored_count	Count of transition between two stages during the whole recording.
JS	N1_to_any_count	Count of transition between two stages during the whole recording.
JT	N2_to_W_count	Count of transition between two stages during the whole recording.
JU	N2_to_N1_count	Count of transition between two stages during the whole recording.
JV	N2_to_N3_count	Count of transition between two stages during the whole recording.
JW	N2_to_R_count	Count of transition between two stages during the whole recording.
JX	N2_to_Unscored_count	Count of transition between two stages during the whole recording.
JY	N2_to_any_count	Count of transition between two stages during the whole recording.
JZ	N3_to_W_count	Count of transition between two stages during the whole recording.
KA	N3_to_N1_count	Count of transition between two stages during the whole recording.
KB	N3_to_N2_count	Count of transition between two stages during the whole recording.
KC	N3_to_R_count	Count of transition between two stages during the whole recording.
KD	N3_to_Unscored_count	Count of transition between two stages during the whole recording.
KE	N3_to_any_count	Count of transition between two stages during the whole recording.
KF	R_to_W_count	Count of transition between two stages during the whole recording.
KG	R_to_N1_count	Count of transition between two stages during the whole recording.
KH	R_to_N2_count	Count of transition between two stages during the whole recording.
KI	R_to_N3_count	Count of transition between two stages during the whole recording.
KJ	R_to_Unscored_count	Count of transition between two stages during the whole recording.
KK	R_to_any_count	Count of transition between two stages during the whole recording.
KL	Unscored_to_W_count	Count of transition between two stages during the whole recording.
KM	Unscored_to_N1_count	Count of transition between two stages during the whole recording.
KN	Unscored_to_N2_count	Count of transition between two stages during the whole recording.
KO	Unscored_to_N3_count	Count of transition between two stages during the whole recording.
KP	Unscored_to_R_count	Count of transition between two stages during the whole recording.
KQ	Unscored_to_any_count	Count of transition between two stages during the whole recording.
KR	any_to_any_count	Total count of all transitions between any two stages.
